ball_color_b,ball_color_g,ball_color_r,ball_radius,ball_x,ball_y,roi1_color_b,roi1_color_g,roi1_color_r,roi1_lineColor_b,roi1_lineColor_g,roi1_lineColor_r,roi1_radius,roi1_x,roi1_y,roi2_color_b,roi2_color_g,roi2_color_r,roi2_lineColor_b,roi2_lineColor_g,roi2_lineColor_r,roi2_radius,roi2_x,roi2_y,time
1,1,1,0.03,0.0,0.0,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.34996789996512
1,1,1,0.03,0.0,0.0,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.36359490000177
1,1,1,0.03,0.0,-0.00017446286673563081,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.38104140001815
1,1,1,0.03,0.0,-0.00034892573347126163,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.39719409996178
1,1,1,0.03,0.0,-0.0005233886002068925,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.41421299998183
1,1,1,0.03,0.0,-0.0006978514669425233,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.431870299973525
1,1,1,0.03,0.0,-0.000872314333678154,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.44800239999313
1,1,1,0.03,0.0,-0.0010467772004137848,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.4646739999298
1,1,1,0.03,0.0,-0.0012212400671494155,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.48065399995539
1,1,1,0.03,0.0,-0.0013957029338850463,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.49808910000138
1,1,1,0.03,0.0,-0.001570165800620677,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.5143693999853
1,1,1,0.03,0.0,-0.0017446286673563078,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.5327919999836
1,1,1,0.03,0.0,-0.0019190915340919386,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.548439000034705
1,1,1,0.03,0.0,-0.0020935544008275696,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.56674279994331
1,1,1,0.03,0.0,-0.0022680172675632005,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.581895699957386
1,1,1,0.03,0.0,-0.0024424801342988315,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.597795699955896
1,1,1,0.03,0.0,-0.0026169430010344625,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.615190999931656
1,1,1,0.03,0.0,-0.0027914058677700935,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.63071289996151
1,1,1,0.03,0.0,-0.0029658687345057244,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.64826629997697
1,1,1,0.03,0.0,-0.0031403316012413554,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.66414000000805
1,1,1,0.03,0.0,-0.0033147944679769864,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.68164079997223
1,1,1,0.03,0.0,-0.0034892573347126174,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.69887209997978
1,1,1,0.03,0.0,-0.0036637202014482484,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.714884600020014
1,1,1,0.03,0.0,-0.0038381830681838793,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.732598199974746
1,1,1,0.03,0.0,-0.00401264593491951,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.74891920003574
1,1,1,0.03,0.0,-0.004187108801655141,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.76453579997178
1,1,1,0.03,0.0,-0.004361571668390771,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.782199100009166
1,1,1,0.03,0.0,-0.004536034535126402,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.79779670003336
1,1,1,0.03,0.0,-0.0047104974018620325,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.8147341000149
1,1,1,0.03,0.0,-0.004884960268597663,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.83242380002048
1,1,1,0.03,0.0,-0.005059423135333294,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.84815380000509
1,1,1,0.03,0.0,-0.005233886002068924,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.865242499974556
1,1,1,0.03,0.0,-0.005408348868804555,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.88412029994652
1,1,1,0.03,0.0,-0.005582811735540185,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.89857610000763
1,1,1,0.03,0.0,-0.005757274602275816,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.91558539995458
1,1,1,0.03,0.0,-0.005931737469011446,-1,-1,-1,-1.0,1.0,1.0,0.15,0.0,0.3333333333333333,-1,-1,-1,1.0,-1.0,-1.0,0.15,0.0,-0.3333333333333333,32.93154030002188
